Date,Employee_Name,Employee_ID,Department,Job_Title,Gender,Project,Years_At_Company,Performance_Score,Monthly_Salary	,Clocked_Hours,Productive_Hours,Tasks_Completed,Meetings	,Break_Hours,Training_Hours	,Overtime_Hours	,Remote_Work_Frequency,Employee_Satisfaction_Score,Resigned
8/31/2024,Winston,4222,Sales,VP Sales,Male,Gembucket,0.4,4,5,1.4,6.3,9,5,0.8,1.8,2.9,13,2.6,yes
1/23/2025,Rhodia,903,Legal,Electrical Engineer,Female,Temp,25.8,2,3,7.9,3.0,10,5,1.4,0.9,3.4,11,1.5,no
10/8/2024,Dane,5482,Engineering,Geological Engineer,Male,Mat Lam Tam,27.4,3,4,5.5,4.2,4,4,1.6,1.5,1.7,10,3.2,yes
11/10/2024,Terese,84,Training,Structural Engineer,Female,Home Ing,25.2,5,4,6.9,0.5,1,5,0.6,3.4,1.4,7,3.3,no
7/28/2024,Gal,1,Legal,Operator,Male,Alphazap,8.8,5,2,7.1,0.0,5,5,1.0,14.6,0.7,19,4.4,no
8/8/2024,Vaughan,663,Services,Staff Scientist,Male,Hatity,24.1,1,1,0.8,1.7,5,5,1.4,9.7,4.8,0,4.0,yes
9/21/2024,Pet,55774,Accounting,Editor,Female,Namfix,28.6,1,2,7.0,2.7,1,3,0.8,13.8,1.0,11,3.5,no
5/12/2025,Shay,30977,Research and Development,Project Manager,Female,Solarbreeze,0.3,4,2,3.1,4.7,5,0,0.6,12.7,0.2,4,1.1,yes
6/2/2025,Myrtice,3,Marketing,Developer II,Female,Biodex,3.3,4,3,0.5,7.7,1,3,1.8,14.7,2.6,13,3.0,no
8/26/2024,Jorrie,8379,Sales,Librarian,Female,Prodder,24.3,2,1,2.9,6.7,5,4,1.8,2.9,2.2,3,4.3,yes
12/25/2024,Marina,72,Marketing,Technical Writer,Female,Cardify,29.6,2,4,3.1,7.2,4,2,1.1,13.8,2.0,5,1.3,yes
7/20/2024,Walther,10745,Marketing,Speech Pathologist,Male,Bamity,6.3,1,4,7.0,1.2,0,4,0.6,5.8,4.3,13,2.5,yes
7/21/2024,Kain,27,Support,Design Engineer,Male,Stim,11.0,2,2,5.2,6.5,1,4,1.0,9.8,3.4,14,2.1,yes
7/28/2024,Bonita,35,Human Resources,Research Associate,Female,Pannier,10.0,2,5,4.8,5.0,3,3,1.3,1.1,1.7,1,1.3,no
6/5/2024,Gideon,42,Engineering,Environmental Specialist,Male,Alpha,3.6,4,2,5.3,4.8,0,5,1.6,14.3,1.2,11,1.5,no
4/12/2025,Porty,915,Training,Design Engineer,Male,Konklab,27.1,4,2,7.6,5.6,1,5,2.0,9.5,0.3,5,2.0,yes
7/17/2024,De,4605,Training,Sales Associate,Female,Trippledex,24.6,4,5,3.8,0.6,7,2,1.1,2.4,4.3,4,3.8,yes
4/1/2025,Shaina,899,Human Resources,Graphic Designer,Female,Fix San,25.9,5,4,2.3,7.3,6,5,0.6,1.5,2.2,6,3.7,no
5/17/2025,Aurthur,68388,Marketing,Executive Secretary,Male,Sonsing,25.6,4,4,4.8,7.8,9,1,2.0,11.8,1.6,0,4.0,no
7/7/2024,Pattie,94117,Business Development,Business Systems Development Analyst,Male,Zathin,0.8,3,4,7.7,4.5,8,0,1.2,0.3,2.7,16,3.5,yes
4/23/2025,Bertina,62,Engineering,VP Marketing,Female,Opela,12.2,1,4,0.6,6.4,9,3,1.9,5.9,2.6,1,1.8,no
4/9/2025,Trstram,8135,Services,Product Engineer,Male,It,28.4,2,2,2.5,5.0,10,5,1.8,6.5,3.1,13,1.7,no
6/27/2024,Querida,7,Product Management,Director of Sales,Female,Temp,11.5,5,3,0.7,7.2,10,5,1.8,0.2,1.3,11,3.4,no
9/24/2024,Neala,21947,Training,Software Test Engineer IV,Female,Greenlam,8.5,5,3,7.4,1.7,7,4,1.6,12.6,2.7,19,4.1,yes
10/23/2024,Anabelle,716,Product Management,Junior Executive,Female,Keylex,22.8,4,2,1.3,3.0,9,0,0.8,12.9,2.4,17,4.6,no
11/4/2024,Alexis,82724,Support,Community Outreach Specialist,Male,Cardify,15.6,2,5,2.2,3.6,1,0,0.6,2.3,2.2,17,3.3,no
4/9/2025,Marjy,08687,Human Resources,Administrative Officer,Non-binary,Pannier,13.0,4,2,2.4,6.1,5,2,1.9,10.6,0.3,2,2.9,no
11/24/2024,Benjy,23367,Marketing,Web Developer I,Male,Fixflex,22.3,1,5,4.3,4.4,6,5,1.3,5.0,1.3,10,1.9,yes
5/1/2025,Steven,92,Research and Development,Pharmacist,Male,Viva,28.8,3,3,4.4,2.0,9,5,2.0,4.8,4.3,1,2.8,no
9/30/2024,Isidro,07786,Legal,Senior Financial Analyst,Male,Bigtax,28.6,1,3,6.8,4.9,10,0,1.4,8.3,1.0,13,1.9,yes
2/21/2025,Dom,9,Support,Sales Representative,Male,Lotlux,8.5,4,5,7.1,1.3,2,2,0.5,10.8,2.9,12,1.6,no
7/7/2024,Joby,9680,Marketing,Operator,Female,Bigtax,9.7,2,2,7.9,4.4,10,4,1.9,2.0,4.5,19,2.0,no
8/6/2024,Amble,7962,Accounting,Legal Assistant,Male,Keylex,26.9,2,4,7.1,2.9,8,0,0.5,10.6,0.8,5,4.1,no
7/26/2024,Miguel,50592,Human Resources,Analyst Programmer,Male,Keylex,21.2,4,1,3.0,6.8,8,3,1.8,5.0,0.9,5,4.2,yes
7/11/2024,Berke,8679,Legal,Administrative Assistant IV,Male,Regrant,2.1,3,5,3.7,0.0,10,0,1.6,3.4,2.2,9,3.6,yes
12/27/2024,Dew,106,Sales,Assistant Manager,Male,Alphazap,11.7,2,2,0.7,2.8,5,4,1.9,9.3,3.1,8,4.0,yes
7/26/2024,Darrin,446,Training,Web Designer IV,Male,Fintone,2.1,2,3,1.3,7.0,4,2,1.1,4.6,2.5,2,1.4,no
3/28/2025,Perry,949,Legal,Assistant Professor,Male,Temp,29.3,3,3,6.3,3.2,1,0,1.8,11.6,2.7,11,2.9,yes
12/30/2024,Merwyn,50666,Product Management,Community Outreach Specialist,Agender,Hatity,10.3,5,2,1.8,6.4,0,2,1.3,0.3,0.4,5,4.9,no
2/18/2025,Reinhard,4005,Services,Research Assistant IV,Male,Prodder,16.4,4,1,7.6,3.6,9,0,1.9,12.7,1.5,16,3.0,yes
12/15/2024,Livy,33,Accounting,Quality Engineer,Female,Zaam-Dox,7.0,2,2,6.7,2.6,10,1,0.5,7.5,2.9,14,2.9,no
3/22/2025,Rhodie,4,Human Resources,Speech Pathologist,Female,Y-find,10.6,5,3,1.5,3.5,8,3,0.8,8.5,1.4,17,5.0,no
12/29/2024,Sonnie,634,Research and Development,Community Outreach Specialist,Male,Namfix,4.0,4,3,7.8,6.4,9,2,0.8,5.5,4.3,12,3.0,no
6/30/2024,Brockie,553,Legal,Registered Nurse,Male,Lotlux,15.5,4,2,1.1,6.0,4,1,1.2,8.2,1.4,1,2.6,no
1/14/2025,Fifi,05,Marketing,Junior Executive,Female,Vagram,4.5,1,1,6.0,5.7,9,5,0.6,2.7,3.7,10,2.5,no
12/25/2024,Kippar,04,Accounting,Engineer IV,Male,Flowdesk,29.0,5,3,2.0,3.6,6,5,2.0,14.8,3.3,3,2.5,no
6/15/2024,Constantine,5,Product Management,Research Associate,Female,Vagram,5.7,2,4,1.1,3.0,6,3,1.1,5.7,4.9,15,1.6,no
4/21/2025,Vidovic,413,Legal,Chief Design Engineer,Male,Flexidy,3.4,2,5,3.0,4.4,3,4,1.4,14.7,0.2,18,3.7,yes
4/30/2025,Sascha,0,Accounting,Automation Specialist II,Female,Namfix,26.7,3,1,3.9,4.5,3,3,1.7,3.5,3.3,9,2.5,no
4/9/2025,Svend,98388,Business Development,Product Engineer,Male,Bigtax,8.8,2,2,1.4,3.0,8,1,1.1,2.0,1.6,10,2.4,yes
1/19/2025,Carmina,246,Services,Dental Hygienist,Female,Tin,15.2,1,5,0.7,5.3,8,0,0.8,1.0,4.3,8,3.7,no
4/28/2025,Elane,87289,Sales,Product Engineer,Female,Duobam,6.6,2,4,2.9,6.1,7,4,1.1,10.3,4.2,10,2.4,yes
9/19/2024,Sven,6,Services,VP Sales,Male,Wrapsafe,22.3,3,4,6.0,1.0,10,2,1.9,0.2,1.2,13,3.2,yes
10/13/2024,Terrill,580,Training,Human Resources Assistant I,Male,Mat Lam Tam,4.1,2,5,1.2,3.4,7,1,1.1,5.8,0.8,17,4.3,no
7/28/2024,Callie,32164,Sales,VP Quality Control,Polygender,Veribet,23.6,3,1,5.2,6.9,1,0,1.9,13.2,0.5,20,1.6,yes
7/17/2024,Gauthier,811,Legal,Database Administrator IV,Male,Wrapsafe,18.9,3,4,3.3,7.4,9,1,1.1,2.0,0.6,3,2.6,no
8/30/2024,Carie,43,Training,Community Outreach Specialist,Female,Bamity,14.1,1,2,2.6,5.9,8,1,0.8,5.4,0.7,4,2.1,no
11/19/2024,Caspar,462,Research and Development,Operator,Male,Wrapsafe,16.4,1,1,5.6,1.2,2,3,1.5,2.0,2.8,10,4.6,no
9/30/2024,Ophelie,3,Engineering,Information Systems Manager,Bigender,Viva,22.2,5,1,7.3,4.7,9,2,1.9,4.6,4.9,18,1.5,no
9/9/2024,Allyson,03,Engineering,Office Assistant II,Female,Konklux,26.6,1,5,3.4,6.1,3,2,0.6,7.3,2.9,9,2.5,no
4/7/2025,Barnett,18,Sales,Senior Editor,Male,Toughjoyfax,28.4,4,5,4.8,3.2,2,3,1.5,2.4,3.0,12,3.9,yes
10/18/2024,Nissy,0091,Human Resources,Chemical Engineer,Female,Treeflex,4.8,3,1,5.1,6.5,10,1,1.1,5.0,2.6,2,1.4,no
10/28/2024,Hewe,85,Engineering,Assistant Professor,Male,Cardguard,19.5,5,5,4.4,2.6,5,3,1.2,12.4,4.1,7,1.9,no
9/27/2024,Lilli,5,Training,Structural Analysis Engineer,Non-binary,Alphazap,15.0,3,1,3.1,1.1,1,5,0.5,0.2,4.5,0,3.6,yes
10/20/2024,Chauncey,6470,Training,Accounting Assistant IV,Male,Duobam,15.9,3,1,1.6,4.5,3,3,1.7,10.7,1.4,15,3.7,yes
9/2/2024,Jodee,7498,Product Management,Quality Control Specialist,Female,Zamit,9.3,5,1,6.4,4.6,2,0,1.8,12.6,2.0,20,1.9,yes
3/5/2025,Sabrina,751,Support,Computer Systems Analyst II,Non-binary,Subin,12.3,1,1,7.1,3.8,0,5,1.7,13.5,1.9,11,4.1,no
12/13/2024,Shane,65676,Human Resources,Research Assistant IV,Polygender,Konklab,29.9,3,2,6.0,6.1,4,5,0.7,3.5,3.4,11,2.9,yes
11/1/2024,Tanny,53,Support,Senior Sales Associate,Male,Voltsillam,22.7,3,2,4.8,1.8,0,5,1.2,10.2,3.6,9,2.3,no
4/4/2025,Kerry,053,Marketing,Geological Engineer,Male,Opela,21.6,1,5,1.4,5.4,1,4,1.5,5.4,4.2,3,2.0,no
7/2/2024,Brockie,0,Accounting,Librarian,Male,Subin,15.5,3,4,5.0,3.7,10,4,0.8,1.0,2.9,15,3.6,no
4/11/2025,Britney,293,Sales,Account Executive,Female,Tresom,3.9,1,1,5.5,3.5,6,2,1.8,6.9,3.9,2,3.5,no
10/26/2024,Ronica,6,Product Management,Research Nurse,Female,Sub-Ex,5.3,1,3,4.7,1.1,3,1,1.9,2.5,4.8,2,3.6,no
7/20/2024,Corinna,17,Human Resources,Financial Advisor,Polygender,Sonair,28.2,4,3,5.4,1.1,8,3,1.3,9.8,1.0,17,1.6,no
2/24/2025,Harriette,39049,Marketing,Internal Auditor,Female,Overhold,10.7,1,2,6.2,7.1,1,4,1.2,4.8,2.3,16,4.4,yes
1/23/2025,Noni,6363,Product Management,Senior Editor,Female,Kanlam,7.4,3,5,2.3,7.5,7,2,1.8,11.6,3.9,19,4.6,yes
2/28/2025,Timi,62207,Accounting,Senior Cost Accountant,Female,Y-Solowarm,29.7,1,3,6.7,6.1,9,3,1.6,12.6,0.4,18,1.4,yes
1/8/2025,Ileane,23549,Business Development,Executive Secretary,Genderqueer,Fix San,3.8,4,1,2.4,6.5,7,2,0.7,7.8,3.1,5,2.8,no
4/5/2025,Jeniffer,42,Research and Development,Senior Sales Associate,Female,Toughjoyfax,27.2,4,3,0.9,6.2,1,3,1.8,3.3,1.4,10,1.8,yes
6/25/2024,Zach,4,Sales,Engineer IV,Male,Mat Lam Tam,1.1,2,3,5.9,2.5,2,5,1.8,9.7,0.5,18,1.8,yes
3/27/2025,Emelina,25,Product Management,Speech Pathologist,Female,Home Ing,9.2,1,4,4.1,2.8,0,0,0.8,8.8,4.8,2,1.8,no
8/6/2024,Fey,400,Engineering,Staff Scientist,Female,Matsoft,5.5,5,5,2.1,2.9,0,0,1.5,6.1,3.7,3,4.6,yes
8/17/2024,Pieter,4,Research and Development,Account Representative III,Male,Domainer,25.3,3,4,2.1,1.2,7,5,1.9,14.6,1.3,2,1.6,no
12/28/2024,Vincents,509,Services,Budget/Accounting Analyst I,Male,Sub-Ex,8.0,4,4,1.9,0.6,9,2,1.6,9.7,1.5,15,4.6,no
1/27/2025,Flory,00486,Training,Sales Representative,Male,Fix San,13.6,3,2,2.8,4.3,3,5,0.6,12.5,0.7,8,2.2,no
2/12/2025,Willi,661,Engineering,Clinical Specialist,Female,Fintone,10.9,5,5,0.8,6.0,2,3,1.8,8.1,1.0,13,4.6,no
8/1/2024,Ric,0046,Legal,Recruiting Manager,Male,Bytecard,1.8,5,5,6.1,3.3,3,2,1.7,14.3,1.5,3,2.0,yes
10/31/2024,Emile,6,Legal,Automation Specialist III,Male,Bigtax,29.3,1,3,3.6,0.4,9,0,0.8,8.9,3.7,2,2.6,yes
6/29/2024,Valentino,21,Human Resources,Senior Cost Accountant,Male,Transcof,22.0,2,2,2.3,4.8,3,1,1.0,1.0,0.6,11,3.0,no
3/16/2025,La verne,54,Research and Development,Internal Auditor,Female,Zamit,0.6,5,5,1.8,1.4,5,4,0.7,2.2,3.8,9,2.5,no
3/11/2025,Amos,05316,Marketing,Account Executive,Male,Bitwolf,1.2,2,5,1.2,2.5,10,5,1.3,3.2,0.4,15,3.3,yes
3/14/2025,Kelley,054,Accounting,Human Resources Manager,Female,Redhold,28.8,2,4,7.4,5.0,8,5,1.4,4.5,0.2,1,1.9,no
2/26/2025,Car,5190,Legal,Marketing Assistant,Male,Keylex,15.3,1,2,1.5,2.9,2,2,1.0,14.1,4.3,16,1.9,yes
11/4/2024,Leonhard,0397,Marketing,Senior Editor,Male,Y-find,23.0,2,5,7.3,6.7,4,0,1.9,7.2,4.8,13,2.3,yes
11/14/2024,Queenie,2868,Human Resources,Senior Cost Accountant,Female,Stronghold,11.9,5,2,4.2,6.9,10,3,0.5,0.7,0.7,1,3.1,no
8/17/2024,Fianna,4372,Marketing,VP Sales,Polygender,Asoka,29.3,2,1,7.0,6.0,6,0,2.0,1.1,4.0,4,4.1,no
11/6/2024,Gun,7838,Training,Sales Associate,Male,Cardguard,6.3,4,5,4.3,2.0,7,3,1.2,14.2,2.6,15,2.8,yes
6/10/2024,Ellswerth,7706,Human Resources,Systems Administrator III,Male,Vagram,27.1,4,1,2.7,0.4,3,5,1.9,10.5,2.7,19,2.2,no
2/28/2025,Bobbe,56,Product Management,Help Desk Operator,Female,Tres-Zap,4.4,1,5,1.5,0.4,10,5,1.8,2.3,1.2,7,4.6,yes
11/7/2024,Gracie,43908,Sales,Senior Editor,Female,Quo Lux,21.9,1,2,0.5,7.4,5,2,0.8,1.7,3.4,20,1.7,no
1/10/2025,Nicolas,9596,Legal,VP Accounting,Genderfluid,Flowdesk,0.8,3,4,1.4,6.8,8,5,1.0,14.6,3.7,5,3.1,no
7/7/2024,Niles,64,Human Resources,Librarian,Agender,Zathin,14.0,3,1,7.7,1.3,9,0,1.2,11.1,4.2,18,4.2,yes
3/20/2025,Wyn,90,Research and Development,Food Chemist,Male,Voltsillam,25.2,5,1,7.4,6.9,2,5,1.8,10.7,3.1,4,4.0,no
7/18/2024,Darcey,72,Training,Account Coordinator,Female,Aerified,22.7,4,4,7.7,7.6,3,5,1.1,12.0,4.3,8,2.1,no
10/13/2024,Brantley,0,Legal,VP Accounting,Male,Zathin,8.2,1,3,2.4,0.2,7,3,1.4,14.1,3.4,14,2.3,yes
5/2/2025,Jannelle,2875,Engineering,Database Administrator IV,Female,Subin,14.0,3,1,1.1,0.3,2,2,0.5,14.5,2.2,19,3.0,no
9/21/2024,Evelyn,75,Sales,Librarian,Female,Sonair,27.2,5,3,2.3,2.2,10,5,1.2,0.6,3.1,7,3.4,no
7/14/2024,Christabel,7,Business Development,Statistician III,Female,Opela,8.0,2,3,6.3,2.6,7,0,1.9,4.4,1.8,7,3.9,yes
3/30/2025,Kennith,459,Services,Social Worker,Male,Regrant,3.2,1,3,0.8,0.5,9,0,1.7,6.1,0.7,13,3.6,yes
3/20/2025,Shelby,2,Training,Health Coach IV,Female,Hatity,16.4,5,4,1.1,7.1,6,1,1.1,5.6,0.7,17,4.1,no
1/10/2025,Cordula,01,Product Management,Web Designer IV,Female,Voltsillam,20.7,3,5,3.6,6.9,9,4,1.4,2.4,3.8,13,2.4,yes
1/27/2025,Dasie,704,Business Development,Project Manager,Female,Wrapsafe,23.1,1,3,6.1,5.2,9,2,1.8,12.7,0.4,14,3.5,no
2/1/2025,Matthiew,63,Training,Operator,Genderfluid,Fintone,18.0,2,2,3.6,6.1,5,5,1.4,7.6,1.1,14,2.7,yes
5/3/2025,Reinhard,20,Accounting,Cost Accountant,Male,Ventosanzap,23.0,3,2,3.0,0.2,9,0,0.5,8.4,4.9,14,2.8,yes
5/16/2025,Kirsti,037,Marketing,Quality Control Specialist,Female,Subin,17.4,3,4,1.7,2.4,5,3,0.7,4.5,3.2,3,3.0,yes
4/28/2025,Rosana,01,Services,Software Consultant,Female,Keylex,26.7,2,2,6.9,6.5,9,0,0.9,14.6,4.5,2,4.1,yes
2/28/2025,Marchall,22,Accounting,Clinical Specialist,Male,Zamit,17.6,2,2,3.2,7.2,6,3,1.0,6.6,4.1,14,3.4,no
2/14/2025,Padgett,13,Research and Development,Electrical Engineer,Male,Zamit,11.8,5,4,4.2,4.3,5,3,1.5,8.5,3.1,15,2.6,yes
10/6/2024,Rosalia,8095,Accounting,Research Associate,Female,Zoolab,26.1,3,2,2.6,7.0,0,5,0.7,6.0,2.6,2,2.6,no
1/21/2025,Isadore,048,Training,Dental Hygienist,Male,Fixflex,12.5,5,4,5.7,0.7,0,2,1.1,5.7,4.8,5,3.9,yes
10/4/2024,Christiano,3,Sales,Geological Engineer,Male,Mat Lam Tam,25.3,4,4,7.6,4.7,4,4,1.4,7.4,3.2,12,1.9,yes
12/26/2024,Vidovic,29407,Legal,Teacher,Male,Andalax,0.3,5,3,4.5,1.9,3,0,0.6,0.8,4.9,11,4.5,no
4/5/2025,Beitris,73,Engineering,Research Associate,Female,Quo Lux,12.0,1,4,4.5,7.4,5,0,0.7,13.4,2.7,10,2.3,yes
4/29/2025,Aubrie,3300,Product Management,Social Worker,Female,Keylex,11.8,1,5,1.4,6.1,8,1,0.9,7.7,1.1,10,3.4,yes
12/24/2024,Jordon,0087,Accounting,Assistant Professor,Genderfluid,Toughjoyfax,22.5,1,1,2.2,0.1,5,4,0.6,12.8,4.1,6,2.8,no
1/15/2025,Carleton,0,Marketing,GIS Technical Architect,Male,Zontrax,28.7,3,5,2.6,1.4,9,3,1.8,15.0,0.0,2,1.9,yes
6/6/2024,Cleve,46,Marketing,Software Engineer IV,Male,Domainer,6.9,1,2,4.3,4.3,4,4,1.0,2.1,1.3,19,1.7,no
4/28/2025,Derrek,91507,Human Resources,Accounting Assistant III,Male,Zoolab,16.1,3,2,1.3,6.2,9,2,1.0,11.3,3.5,1,1.8,no
9/16/2024,Natty,8,Accounting,Automation Specialist III,Female,Zathin,11.6,4,4,5.3,5.1,1,2,1.7,8.8,1.6,12,2.8,yes
12/29/2024,Celestyn,963,Accounting,Food Chemist,Female,Sonsing,0.3,4,5,2.3,5.8,2,2,1.5,0.4,1.6,14,3.7,yes
